N:\SkyDrive\src\SBU\AI\project2\multiagent>python pacman.py -p AlphaBetaAgent -a
 depth=3,evalFn=smartScorer,profile=True -l smallClassic -n 10 --frameTime 0.01
>> alpha_beta_smart_report.txt


+==================+
| % | AB | Minimax |
+==================+

41 %	264 	636
22 %	143 	629
43 %	195 	453
56 %	65 	116
68 %	26 	38
55 %	74 	134
38 %	62 	159
22 %	174 	759
41 %	434 	1046
34 %	479 	1403
45 %	226 	494
49 %	178 	358
47 %	158 	334
50 %	94 	188
52 %	76 	144
51 %	106 	204
59 %	78 	132
47 %	65 	137
43 %	129 	295
37 %	265 	715
28 %	374 	1304
31 %	714 	2244
7 %	157 	2193
51 %	96 	187
47 %	358 	756
55 %	60 	108
39 %	102 	260
43 %	139 	319
37 %	234 	618
40 %	108 	264
27 %	104 	374
35 %	49 	138
23 %	69 	296
24 %	64 	264
32 %	114 	352
37 %	67 	178
36 %	135 	365
60 %	102 	168
60 %	72 	120
59 %	100 	168
43 %	97 	224
37 %	153 	405
39 %	126 	319
35 %	115 	324
45 %	217 	476
36 %	136 	374
46 %	208 	449
51 %	320 	620
45 %	514 	1124
35 %	272 	770
23 %	312 	1342
Pacman emerges victorious! Score: 1773
Average Score: 1549.5
Scores:        1564.0, 1572.0, 1771.0, 1369.0, 1576.0, 1377.0, 1566.0, 1379.0, 1548.0, 1773.0
Win Rate:      10/10 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
